"sample","file","treatment","time"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A7_S56_L005_R2_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A7_S56_L006_R1_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A7_S1_L001_R1_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A7_S1_L001_R2_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A7_S1_L002_R1_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A7_S1_L002_R2_001.fastq.gz","untreated","t2"
"sample_7","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A7_S56_L006_R2_001.fastq.gz","untreated","t2"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A8_S5_L001_R2_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A8_S5_L002_R1_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A8_S5_L002_R2_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A8_S5_L001_R1_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A8_S60_L005_R1_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A8_S60_L005_R2_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A8_S60_L006_R1_001.fastq.gz","untreated","t1"
"sample_8","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A8_S60_L006_R2_001.fastq.gz","untreated","t1"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A9_S3_L001_R2_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A9_S3_L002_R1_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A9_S3_L002_R2_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/180928_K00102_0259_BH2GKYBBXY/fastq/PM18024/LAI78A9_S3_L001_R1_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A9_S58_L005_R1_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A9_S58_L005_R2_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A9_S58_L006_R1_001.fastq.gz","untreated","t2"
"sample_9","/camp/stp/babs/working/bahn/code/nf/rnaseq/assets/examples/fastq/paired_end/181018_K00102_0266_BH2KWKBBXY/fastq/PM18024/LAI78A9_S58_L006_R2_001.fastq.gz","untreated","t2"
